City,Item,Item_slug,Respondents (n),Owners (n),Ownership (%),Underutilised owners (n),Underutilisation (%),Borrowing willingness (%),Suitability (%),Sharing potential index,Estimated owned items,Estimated underutilised items,Estimated storage volume (m³),Estimated value (€)
Bergen,Vacuum cleaner,vacuum_cleaner,200,194,97.0,3,1.5463917525773196,4.0,1.5,2.449489742783178,135994.0,2103.0,126.17999999999999,336480.0
Bergen,Steam cleaner,steam_cleaner,200,42,21.0,28,66.66666666666666,48.0,13.999999999999998,25.922962793631438,29442.0,19627.999999999996,1570.2399999999998,2747919.9999999995
Bergen,Drill,drill,200,143,71.5,79,55.24475524475524,31.0,39.49999999999999,34.99285641384538,100243.0,55378.99999999999,221.51599999999996,6091689.999999999
Bergen,Video projector,video_projector,200,17,8.5,6,35.294117647058826,30.5,3.0000000000000004,9.565563234854496,11917.0,4206.000000000001,25.236000000000004,1177680.0000000002
Bergen,Hand sander,hand_sander,200,63,31.5,52,82.53968253968253,39.5,26.0,32.04684071792413,44163.0,36452.0,145.808,2551640.0
Bergen,Fitness equipment/devices,fitness_equipment,200,91,45.5,17,18.681318681318682,26.5,8.5,15.008331019803636,63791.0,11917.0,595.85,595850.0
Bergen,Football & basketball,football_basketball,200,86,43.0,29,33.72093023255814,13.5,14.499999999999998,13.991068579633223,60286.0,20329.0,162.632,609870.0
Bergen,Table tennis paddles,table_tennis,200,17,8.5,11,64.70588235294117,15.5,5.500000000000001,9.233092656309696,11917.0,7711.000000000001,38.55500000000001,308440.00000000006
Bergen,Iron,iron,200,171,85.5,70,40.93567251461988,7.5,35.0,16.20185174601965,119871.0,49070.0,196.28,2453500.0
Bergen,Sewing machine,sewing_machine,200,110,55.00000000000001,66,60.0,33.5,33.0,33.2490601370926,77110.0,46266.0,1387.98,8327880.0
Bergen,Beach volleyball set,volleyball_set,200,5,2.5,3,60.0,18.0,1.5,5.196152422706632,3505.0,2103.0,21.03,63090.0
Bergen,Foldable chairs & table,foldable_chairs_table,200,70,35.0,42,60.0,42.0,21.0,29.698484809834998,49070.0,29442.0,7360.5,4857930.0
Bergen,Carpet shampoo/cleaner,carpet_cleaner,200,12,6.0,10,83.33333333333334,55.50000000000001,5.0,16.658331248957683,8412.0,7010.0,701.0,1612300.0
Bergen,Pressure washer,pressure_washer,200,75,37.5,52,69.33333333333334,53.0,26.0,37.12142238654117,52575.0,36452.0,2916.16,5832320.0
Gothenburg,Vacuum cleaner,vacuum_cleaner,496,466,93.95161290322581,25,5.36480686695279,2.82258064516129,5.040322580645162,3.7718320431188923,250850.8064516129,13457.661290322581,807.4596774193549,2153225.806451613
Gothenburg,Steam cleaner,steam_cleaner,496,33,6.653225806451612,22,66.66666666666666,42.54032258064516,4.435483870967741,13.73633556201276,17764.112903225807,11842.74193548387,947.4193548387095,1657983.8709677418
Gothenburg,Drill,drill,496,303,61.08870967741935,230,75.9075907590759,57.056451612903224,46.37096774193548,51.43697966649323,163106.85483870967,123810.48387096774,495.241935483871,13619153.225806452
Gothenburg,Video projector,video_projector,496,36,7.258064516129033,27,75.0,28.225806451612907,5.443548387096775,12.395504958822096,19379.03225806452,14534.274193548388,87.20564516129033,4069596.7741935486
Gothenburg,Hand sander,hand_sander,496,78,15.725806451612904,68,87.17948717948718,53.0241935483871,13.709677419354838,26.96190996516796,41987.903225806454,36604.83870967742,146.41935483870967,2562338.709677419
Gothenburg,Fitness equipment/devices,fitness_equipment,496,150,30.241935483870968,38,25.333333333333336,24.39516129032258,7.661290322580647,13.671079442068296,80745.96774193548,20455.645161290326,1022.7822580645163,1022782.2580645162
Gothenburg,Football & basketball,football_basketball,496,106,21.370967741935484,49,46.22641509433962,15.725806451612904,9.879032258064518,12.464178641994945,57060.48387096774,26377.01612903226,211.0161290322581,791310.4838709679
Gothenburg,Table tennis paddles,table_tennis,496,35,7.056451612903227,30,85.71428571428571,18.951612903225808,6.048387096774194,10.706385522057865,18840.725806451614,16149.193548387097,80.74596774193549,645967.7419354839
Gothenburg,Iron,iron,496,409,82.45967741935483,162,39.60880195599022,14.919354838709678,32.66129032258064,22.074541440598377,220167.33870967742,87205.64516129032,348.8225806451613,4360282.258064516
Gothenburg,Sewing machine,sewing_machine,496,228,45.96774193548387,139,60.96491228070175,50.806451612903224,28.024193548387093,37.73340474310215,122733.87096774192,74824.59677419355,2244.7379032258063,13468427.419354837
Saint Quentin,Vacuum cleaner,vacuum_cleaner,216,205,94.9074074074074,7,3.414634146341464,12.037037037037036,3.2407407407407414,6.24571183482965,29050.208333333332,991.9583333333335,59.517500000000005,158713.33333333337
Saint Quentin,Steam cleaner,steam_cleaner,216,59,27.314814814814813,24,40.67796610169492,43.51851851851852,11.111111111111112,21.98952238340355,8360.791666666666,3401.0000000000005,272.08000000000004,476140.00000000006
Saint Quentin,Drill,drill,216,161,74.53703703703704,104,64.59627329192547,29.166666666666668,48.148148148148145,37.474271008977894,22815.041666666664,14737.666666666666,58.95066666666666,1621143.3333333333
Saint Quentin,Hand sander,hand_sander,216,111,51.388888888888886,106,95.4954954954955,32.870370370370374,49.07407407407407,40.163204433882086,15729.624999999998,15021.083333333332,60.084333333333326,1051475.8333333333
Saint Quentin,Fitness equipment/devices,fitness_equipment,216,66,30.555555555555557,16,24.242424242424242,23.14814814814815,7.407407407407408,13.094570021973103,9352.75,2267.3333333333335,113.36666666666667,113366.66666666667
Saint Quentin,Football & basketball,football_basketball,216,88,40.74074074074074,48,54.54545454545454,16.203703703703702,22.222222222222218,18.975834751777032,12470.333333333332,6801.999999999999,54.416,204059.99999999997
Saint Quentin,Table tennis paddles,table_tennis,216,65,30.09259259259259,56,86.15384615384616,16.203703703703702,25.92592592592593,20.49624409368394,9211.041666666666,7935.666666666668,39.67833333333334,317426.66666666674
Saint Quentin,Beach volleyball set,volleyball_set,216,2,0.9259259259259258,2,100.0,12.5,0.9259259259259258,3.4020690871988584,283.41666666666663,283.41666666666663,2.8341666666666665,8502.499999999998
Saint Quentin,Carpet shampoo/cleaner,carpet_cleaner,216,21,9.722222222222223,11,52.38095238095239,34.72222222222222,5.0925925925925934,13.29759871883803,2975.875,1558.7916666666667,155.8791666666667,358522.0833333334
Saint Quentin,Pressure washer,pressure_washer,216,110,50.92592592592593,95,86.36363636363636,40.74074074074074,43.98148148148149,42.330109076527634,15587.916666666668,13462.291666666668,1076.9833333333333,2153966.666666667
Sint Niklaas,Vacuum cleaner,vacuum_cleaner,188,168,89.36170212765957,2,1.1904761904761905,4.787234042553192,1.0638297872340425,2.256723769744301,31318.59574468085,372.8404255319149,22.370425531914893,59654.46808510638
Sint Niklaas,Steam cleaner,steam_cleaner,188,26,13.829787234042554,13,50.0,36.17021276595745,6.914893617021277,15.814966752466495,4846.925531914894,2423.462765957447,193.87702127659577,339284.7872340426
Sint Niklaas,Drill,drill,188,149,79.25531914893617,100,67.11409395973155,19.680851063829788,53.191489361702125,32.3551198420118,27776.61170212766,18642.021276595744,74.56808510638298,2050622.3404255318
Sint Niklaas,Hand sander,hand_sander,188,81,43.08510638297872,68,83.9506172839506,24.46808510638298,36.170212765957444,29.74921585980758,15100.037234042553,12676.574468085106,50.70629787234042,887360.2127659575
Sint Niklaas,Fitness equipment/devices,fitness_equipment,188,64,34.04255319148936,19,29.6875,6.914893617021277,10.106382978723403,8.359698747607293,11930.893617021276,3541.984042553191,177.09920212765957,177099.20212765955
Sint Niklaas,Football & basketball,football_basketball,188,68,36.17021276595745,35,51.470588235294116,3.1914893617021276,18.617021276595743,7.708179120313531,12676.574468085108,6524.70744680851,52.197659574468084,195741.22340425532
Sint Niklaas,Table tennis paddles,table_tennis,188,38,20.212765957446805,33,86.8421052631579,3.1914893617021276,17.5531914893617,7.484705999718239,7083.968085106382,6151.867021276596,30.759335106382977,246074.6808510638
Sint Niklaas,Beach volleyball set,volleyball_set,188,9,4.787234042553192,6,66.66666666666666,5.851063829787234,3.1914893617021276,4.321297023742532,1677.781914893617,1118.5212765957447,11.185212765957447,33555.63829787234
Sint Niklaas,Carpet shampoo/cleaner,carpet_cleaner,188,7,3.723404255319149,5,71.42857142857143,43.08510638297872,2.6595744680851063,10.704580743350057,1304.941489361702,932.1010638297872,93.21010638297872,214383.24468085106
Sint Niklaas,Pressure washer,pressure_washer,188,74,39.361702127659576,58,78.37837837837837,37.765957446808514,30.851063829787233,34.13385363220095,13795.095744680852,10812.372340425532,864.9897872340426,1729979.574468085
Antwerpen,Vacuum cleaner,vacuum_cleaner,124,121,97.58064516129032,2,1.6528925619834711,8.064516129032258,1.6129032258064515,3.6065612540319187,201660.16129032258,3333.2258064516127,199.99354838709675,533316.1290322581
Antwerpen,Steam cleaner,steam_cleaner,124,19,15.32258064516129,7,36.84210526315789,33.064516129032256,5.64516129032258,13.662156730723723,31665.645161290322,11666.290322580644,933.3032258064516,1633280.6451612902
Antwerpen,Drill,drill,124,83,66.93548387096774,57,68.67469879518072,33.87096774193548,45.96774193548387,39.45848329911313,138328.87096774194,94996.93548387097,379.9877419354839,10449662.903225807
Antwerpen,Video projector,video_projector,124,9,7.258064516129033,5,55.55555555555556,21.774193548387096,4.03225806451613,9.370120998888913,14999.51612903226,8333.064516129034,49.9983870967742,2333258.0645161294
Antwerpen,Hand sander,hand_sander,124,46,37.096774193548384,37,80.43478260869566,35.483870967741936,29.838709677419356,32.539098390051635,76664.19354838709,61664.67741935484,246.65870967741938,4316527.419354839
Antwerpen,Fitness equipment/devices,fitness_equipment,124,34,27.419354838709676,12,35.294117647058826,4.838709677419355,9.67741935483871,6.842968850192395,56664.83870967742,19999.354838709678,999.9677419354839,999967.7419354839
Antwerpen,Football & basketball,football_basketball,124,20,16.129032258064516,15,75.0,5.64516129032258,12.096774193548388,8.263669972548064,33332.25806451613,24999.1935483871,199.99354838709678,749975.806451613
Antwerpen,Table tennis paddles,table_tennis,124,12,9.67741935483871,10,83.33333333333334,4.838709677419355,8.064516129032258,6.246747332592608,19999.354838709678,16666.129032258064,83.33064516129032,666645.1612903225
Antwerpen,Sewing machine,sewing_machine,124,47,37.903225806451616,28,59.57446808510638,17.741935483870968,22.58064516129032,20.015602654823965,78330.80645161291,46665.161290322576,1399.9548387096772,8399729.032258064
Antwerpen,Beach volleyball set,volleyball_set,124,1,0.8064516129032258,0,0.0,5.64516129032258,0.0,0.0,1666.6129032258063,0.0,0.0,0.0
Antwerpen,Foldable chairs & table,foldable_chairs_table,124,30,24.193548387096776,21,70.0,30.64516129032258,16.93548387096774,22.781365954557316,49998.3870967742,34998.87096774193,8749.717741935483,5774813.709677419
Antwerpen,Carpet shampoo/cleaner,carpet_cleaner,124,8,6.451612903225806,5,62.5,38.70967741935484,4.032258064516129,12.493494665185215,13332.90322580645,8333.064516129032,833.3064516129033,1916604.8387096773
Antwerpen,Pressure washer,pressure_washer,124,43,34.67741935483871,37,86.04651162790698,51.61290322580645,29.838709677419356,39.24362922773045,71664.35483870968,61664.67741935484,4933.174193548387,9866348.387096774
Antwerpen,Party tent,party_tent,124,7,5.64516129032258,6,85.71428571428571,42.74193548387097,4.838709677419355,14.381092338812104,11666.290322580644,9999.677419354839,1199.9612903225807,1799941.935483871
Hamburg,Vacuum cleaner,vacuum_cleaner,79,78,98.73417721518987,1,1.282051282051282,2.5316455696202533,1.2658227848101267,1.7901437498393606,232457.77215189874,2980.227848101266,178.81367088607595,476836.4556962025
Hamburg,Steam cleaner,steam_cleaner,79,11,13.924050632911392,9,81.81818181818183,51.89873417721519,11.39240506329114,24.3156616611374,32782.50632911392,26822.050632911392,2145.764050632911,3755087.088607595
Hamburg,Drill,drill,79,68,86.07594936708861,46,67.64705882352942,39.24050632911392,58.227848101265835,47.800525540504324,202655.4936708861,137090.48101265825,548.361924050633,15079952.911392407
Hamburg,Hand sander,hand_sander,79,39,49.36708860759494,29,74.35897435897436,43.037974683544306,36.708860759493675,39.7476416914116,116228.88607594937,86426.60759493671,345.70643037974685,6049862.53164557
Hamburg,Fitness equipment/devices,fitness_equipment,79,30,37.9746835443038,6,20.0,18.9873417721519,7.594936708860761,12.00864934241157,89406.83544303798,17881.3670886076,894.06835443038,894068.35443038
Hamburg,Football & basketball,football_basketball,79,26,32.91139240506329,12,46.15384615384615,5.063291139240507,15.18987341772152,8.769877506677858,77485.92405063291,35762.73417721519,286.10187341772155,1072882.0253164559
Hamburg,Table tennis paddles,table_tennis,79,36,45.56962025316456,31,86.11111111111111,15.18987341772152,39.24050632911393,24.4143057240328,107288.20253164557,92387.06329113925,461.93531645569624,3695482.53164557
Hamburg,Beach volleyball set,volleyball_set,79,0,0.0,0,,21.518987341772153,,,0.0,,,
Hamburg,Carpet shampoo/cleaner,carpet_cleaner,79,4,5.063291139240507,3,75.0,59.49367088607595,3.79746835443038,15.030812768402427,11920.911392405063,8940.683544303798,894.0683544303798,2056357.2151898735
Hamburg,Pressure washer,pressure_washer,79,30,37.9746835443038,28,93.33333333333333,51.89873417721519,35.44303797468355,42.88879581290486,89406.83544303798,83446.37974683546,6675.710379746837,13351420.759493673
