cluster,city,item,ownership,underutilisation,income_group,age,gender,education
Bergen_0,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_1,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_2,Bergen,Vacuum cleaner,1,0.0,Below median,36–45,Woman,Secondary / vocational education
Bergen_3,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_4,Bergen,Vacuum cleaner,1,0.0,Around median,46–55,Woman,Secondary / vocational education
Bergen_5,Bergen,Vacuum cleaner,1,0.0,Below median,26–35,Woman,Higher education
Bergen_6,Bergen,Vacuum cleaner,1,0.0,Around median,26–35,Man,Higher education
Bergen_7,Bergen,Vacuum cleaner,1,0.0,Around median,36–45,Woman,Secondary / vocational education
Bergen_8,Bergen,Vacuum cleaner,1,0.0,Above median,46–55,Man,Higher education
Bergen_9,Bergen,Vacuum cleaner,1,0.0,Below median,26–35,Other,Higher education
Bergen_10,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Man,Higher education
Bergen_11,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Man,Higher education
Bergen_12,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_13,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_14,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_15,Bergen,Vacuum cleaner,1,0.0,Below median,36–45,Woman,Higher education
Bergen_16,Bergen,Vacuum cleaner,1,0.0,Below median,46–55,Man,Higher education
Bergen_17,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_18,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_19,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Man,Higher education
Bergen_20,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_21,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_22,Bergen,Vacuum cleaner,1,0.0,Around median,26–35,Woman,Secondary / vocational education
Bergen_23,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_24,Bergen,Vacuum cleaner,1,0.0,Around median,36–45,Man,Primary education
Bergen_25,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_26,Bergen,Vacuum cleaner,1,0.0,Above median,56–65,Man,Secondary / vocational education
Bergen_27,Bergen,Vacuum cleaner,1,0.0,Around median,36–45,Woman,Higher education
Bergen_28,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_29,Bergen,Vacuum cleaner,1,0.0,Below median,56–65,Man,Primary education
Bergen_30,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_31,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_32,Bergen,Vacuum cleaner,1,1.0,Above median,56–65,Man,Higher education
Bergen_33,Bergen,Vacuum cleaner,1,0.0,Below median,56–65,Man,Primary education
Bergen_34,Bergen,Vacuum cleaner,0,,Below median,26–35,Woman,Higher education
Bergen_35,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Man,Higher education
Bergen_36,Bergen,Vacuum cleaner,1,0.0,Below median,26–35,Woman,Higher education
Bergen_37,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_38,Bergen,Vacuum cleaner,1,0.0,Below median,36–45,Woman,Secondary / vocational education
Bergen_39,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
Bergen_40,Bergen,Vacuum cleaner,1,0.0,Below median,26–35,Woman,Higher education
Bergen_41,Bergen,Vacuum cleaner,1,0.0,Below median,26–35,Woman,Higher education
Bergen_42,Bergen,Vacuum cleaner,1,0.0,Around median,56–65,Man,Higher education
Bergen_43,Bergen,Vacuum cleaner,1,0.0,Above median,46–55,Woman,Primary education
Bergen_44,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_45,Bergen,Vacuum cleaner,1,0.0,Above median,65+,Woman,Higher education
Bergen_46,Bergen,Vacuum cleaner,1,0.0,Around median,46–55,Woman,Higher education
Bergen_47,Bergen,Vacuum cleaner,1,1.0,Above median,46–55,Man,Doctorate / PhD
Bergen_48,Bergen,Vacuum cleaner,1,0.0,Below median,18–25,Man,Secondary / vocational education
Bergen_49,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_50,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Man,Higher education
Bergen_51,Bergen,Vacuum cleaner,1,0.0,Around median,18–25,Woman,Secondary / vocational education
Bergen_52,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Secondary / vocational education
Bergen_53,Bergen,Vacuum cleaner,1,0.0,Below median,56–65,Man,Primary education
Bergen_54,Bergen,Vacuum cleaner,1,0.0,Above median,46–55,Man,Doctorate / PhD
Bergen_55,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Woman,Higher education
Bergen_56,Bergen,Vacuum cleaner,1,0.0,Above median,46–55,Woman,Higher education
Bergen_57,Bergen,Vacuum cleaner,1,0.0,Above median,65+,Man,Secondary / vocational education
Bergen_58,Bergen,Vacuum cleaner,1,0.0,Above median,36–45,Man,Doctorate / PhD
Bergen_59,Bergen,Vacuum cleaner,1,0.0,Below median,36–45,Woman,Higher education
Bergen_60,Bergen,Vacuum cleaner,1,0.0,Above median,46–55,Other,Higher education
Bergen_61,Bergen,Vacuum cleaner,1,0.0,Around median,36–45,Woman,Higher education
Bergen_62,Bergen,Vacuum cleaner,1,0.0,Around median,56–65,Man,Higher education
Bergen_63,Bergen,Vacuum cleaner,1,0.0,Around median,56–65,Prefer not to say,Higher education
Bergen_64,Bergen,Vacuum cleaner,1,0.0,Above median,26–35,Woman,Higher education
