Predictor,Category,Reference,Ownership OR,Ownership CI low,Ownership CI high,Ownership p-value,Underutilisation OR,Underutilisation CI low,Underutilisation CI high,Underutilisation p-value
Income,Around median,Above median,0.7481723116826356,0.6307033815733321,0.887519909235583,0.000870600493776347,1.0417211465442258,0.8203868396381809,1.3227698138551558,0.7373166657451521
Income,Below median,Above median,0.6054374952639279,0.5237921987916826,0.6998091256743615,1.1234016955717511e-11,1.0641824661401493,0.8636248911198031,1.311315054585464,0.5593090375463251
Age,26–35,18–25,1.4967097728781953,0.8859580580592631,2.528494575845093,0.13171054761141376,0.9554487329180926,0.48996986931221725,1.8631396304352839,0.8935977210993324
Age,36–45,18–25,1.9972237675030404,1.194691257883392,3.3388565883926278,0.008327414768164825,1.0433077656084087,0.5418457326687288,2.008857924224508,0.8990733314310626
Age,46–55,18–25,2.1038467992548813,1.2570727080252808,3.521014597228846,0.0046439063027284636,1.1434484027380307,0.5930381850726829,2.204704996464788,0.689024998973115
Age,56–65,18–25,1.6934220334040395,1.009184957279018,2.841578406945498,0.046084183949094866,1.160994841303549,0.5960243464307529,2.2614999363789487,0.66079224477758
Age,65+,18–25,1.5942745645084258,0.9530476225581036,2.666930095493284,0.07560086574214402,0.772406153618695,0.397675730999248,1.5002456012312082,0.4458010781249826
Gender,Other,Man,0.8273190895204484,0.42977245340334586,1.5926029471288006,0.5705076151395743,0.8549520547132072,0.3239744445282439,2.256174918125715,0.7516027915065537
Gender,Prefer not to say,Man,1.1627451430274436,0.702879005201056,1.9234836403275157,0.5571141208800025,1.46287074506297,0.6211899834005744,3.4449860331716193,0.3840363731714972
Gender,Woman,Man,0.8864575858059264,0.7763523187323016,1.0121784046655626,0.0748943336442057,1.229516163084099,1.0176381168660764,1.4855084240953107,0.03225882591036577
Education,Higher education,Doctorate / PhD,1.087992037259633,0.7870123302975712,1.5040764008014926,0.6097632114750058,1.131516326136177,0.778885986782422,1.6437953924447284,0.5166736132361629
Education,Primary education,Doctorate / PhD,0.8328227026095102,0.48989895963403973,1.415789195592355,0.49921845105965623,1.232046405989799,0.6015053835805013,2.523565686938245,0.5683768299155835
Education,Secondary / vocational education,Doctorate / PhD,0.9947244603639166,0.7065106359285381,1.4005121815977422,0.975825547370981,1.3157813213990437,0.8806603535851198,1.9658889817109009,0.18036241971001066
