City,Initiative,Know (%),Use (%),Know but don't use (%),Don't know (%)
Bergen,Second-hand shops,98.5,64.0,34.5,1.5
Bergen,Sharing initiatives,84.0,24.5,59.5,16.0
Bergen,Renting initiatives,93.5,36.0,57.49999999999999,6.5
Bergen,Repair shops,75.0,26.5,48.5,25.0
Gothenburg,Second-hand shops,100.0,91.33064516129032,8.669354838709678,0.0
Gothenburg,Sharing initiatives,87.90322580645162,17.137096774193548,70.76612903225806,12.096774193548388
Gothenburg,Renting initiatives,89.51612903225806,29.435483870967744,60.08064516129033,10.483870967741936
Gothenburg,Repair shops,85.68548387096774,57.66129032258065,28.024193548387093,14.31451612903226
Saint Quentin,Second-hand shops,98.61111111111111,51.85185185185185,46.75925925925926,1.3888888888888888
Saint Quentin,Sharing initiatives,97.68518518518519,33.33333333333333,64.35185185185185,2.314814814814815
Saint Quentin,Renting initiatives,79.16666666666666,8.333333333333332,70.83333333333334,20.833333333333336
Saint Quentin,Repair shops,66.66666666666666,66.66666666666666,0.0,33.33333333333333
Sint Niklaas,Second-hand shops,100.0,74.46808510638297,25.53191489361702,0.0
Sint Niklaas,Sharing initiatives,77.6595744680851,36.17021276595745,41.48936170212766,22.340425531914892
Sint Niklaas,Renting initiatives,73.40425531914893,21.27659574468085,52.12765957446809,26.595744680851062
Sint Niklaas,Repair shops,81.91489361702128,44.148936170212764,37.765957446808514,18.085106382978726
Antwerpen,Second-hand shops,100.0,81.45161290322581,18.548387096774192,0.0
Antwerpen,Sharing initiatives,62.903225806451616,22.58064516129032,40.32258064516129,37.096774193548384
Antwerpen,Renting initiatives,70.16129032258065,25.806451612903224,44.354838709677416,29.838709677419356
Antwerpen,Repair shops,72.58064516129032,35.483870967741936,37.096774193548384,27.419354838709676
Hamburg,Second-hand shops,98.73417721518987,53.16455696202531,45.56962025316456,1.2658227848101267
Hamburg,Sharing initiatives,69.62025316455697,16.455696202531644,53.16455696202531,30.37974683544304
Hamburg,Renting initiatives,83.54430379746836,16.455696202531644,67.08860759493672,16.455696202531644
Hamburg,Repair shops,75.9493670886076,12.658227848101266,63.29113924050633,24.050632911392405
