Item,Mean ownership (%),Mean underutilisation (%),Cities included
Party tent,5.64516129032258,85.71428571428571,1
Hand sander,38.02727742077064,83.99317324438097,6
Pressure washer,40.0879461905456,82.69103860731768,5
Table tennis paddles,20.184808295157648,82.1434273214459,6
Carpet shampoo/cleaner,6.192106104001537,68.92857142857143,5
Drill,73.23208318357483,66.53074514569971,6
Foldable chairs & table,29.596774193548388,65.0,2
Sewing machine,46.29032258064516,60.17979345526938,3
Steam cleaner,16.340743188896944,57.111931086061325,6
Beach volleyball set,1.8039223162764686,56.666666666666664,4
Video projector,7.672043010752688,55.28322440087146,3
Football & basketball,31.72039098529358,51.186205710248764,6
Iron,83.97983870967741,40.27223723530505,2
Fitness equipment/devices,34.28901376898823,25.539782317355847,6
Vacuum cleaner,95.2559241357955,2.408542133397086,6
