Reason,Bergen,Gothenburg,Saint Quentin,Sint Niklaas,Antwerpen,Hamburg,Overall
Lack of sharing stations,60.256410256410255,47.75784753363229,0.0,43.75,54.78260869565217,73.97260273972603,42.60204081632653
Lack of information on offered products,63.46153846153846,37.66816143497758,33.80952380952381,46.02272727272727,40.0,43.83561643835616,42.26190476190476
Lack of information on how sharing stations work,39.743589743589745,33.63228699551569,43.333333333333336,56.25,51.30434782608695,43.83561643835616,41.92176870748299
I am used to owning goods,22.435897435897434,6.726457399103139,22.857142857142858,27.272727272727273,28.695652173913043,31.506849315068493,18.452380952380953
I use my items so often that i rather own them,7.6923076923076925,7.623318385650224,20.952380952380953,18.75,14.782608695652174,6.8493150684931505,12.329931972789115
Lack of product availability,16.025641025641026,6.502242152466367,7.619047619047619,5.681818181818182,9.565217391304348,20.54794520547945,9.013605442176871
Lack of hygiene,2.5641025641025643,4.708520179372197,14.285714285714286,1.1363636363636365,3.4782608695652173,5.47945205479452,5.5272108843537415
Time consuming,10.256410256410257,4.708520179372197,0.9523809523809523,3.977272727272727,5.217391304347826,16.438356164383563,5.442176870748299
It is too complicated,9.615384615384615,6.053811659192825,1.9047619047619047,3.409090909090909,3.4782608695652173,6.8493150684931505,5.187074829931973
Lack of quality and maintenance,1.2820512820512822,2.0179372197309418,7.142857142857143,1.7045454545454546,1.7391304347826086,6.8493150684931505,3.061224489795918
I don't think it makes a difference for the environment,3.2051282051282053,1.1210762331838564,6.666666666666667,1.7045454545454546,0.8695652173913043,1.36986301369863,2.4659863945578233
It is too expensive,1.9230769230769231,1.7937219730941705,2.380952380952381,0.5681818181818182,3.4782608695652173,5.47945205479452,2.1258503401360542
I don't trust sharing station providers,0.6410256410256411,1.1210762331838564,3.3333333333333335,0.5681818181818182,0.8695652173913043,1.36986301369863,1.3605442176870748
Other,0.0,0.0,0.0,0.0,0.0,10.95890410958904,0.6802721088435374
